texto,label,canal
"Hola, tengo un asunto confidencial que tratar con usted sobre su familiar. Contacteme para obtener mas detalles sobre su fondo.",1,email
Donacion de la Sra. Mary Rosalinda Andrew. Soy viuda de edad avanzada hospitalizada. Herede fondos de mi difunto esposo por un millon quinientos mil dolares. Busco persona honesta para ayuda humanitaria. Responda con nombre completo direccion profesion telefono y pais.,1,email
Hola. Soy la Sra. Abel Clement de Estados Unidos y necesito su ayuda para una obra de caridad. Si le interesa escriba me para mas detalles.,1,email
HAS SIDO ELEGIDO: Bono del 150% + 500 giros gratis. Casino online. Recibir bono. Retiros rapidos en 5 minutos.,1,email
Notificacion perentoria: Demanda laboral por abuso de confianza. Servicios Publicos.,1,email
Remito el expediente solicitado donde podra revisar el estado actual del proceso. EXPEDIENTE disponible. Atentamente Secretario del Juzgado.,0,email
Davivienda: Extracto de sus Productos de Credito. Adjunto encontrara el ultimo extracto de sus productos para su consulta. Puede consultar sus extractos en www.davivienda.com. Esta direccion es unicamente para envios automaticos de informacion.,0,email
Banco Popular: Extracto Unificado. Adjunto enviamos el extracto de tu Cuenta Ahorros Corriente. La direccion extractos y comunicaciones esta destinada solo para entregar tu extracto digital. Linea Verde disponible para consultas.,0,email
"Banco Findina Servicio al Cliente: Dando respuesta a su solicitud de validar el cobro por concepto de otros en su extracto, al verificar en el sistema se evidencia que dicho cobro corresponde al ajuste por renovacion del seguro. Cuenta con nuestra banca virtual y centro de contacto telefonico.",0,email
Banco Findina: Hola. Sientes que las fechas de pago te estan ganando la carrera? Con nuestra Compra de Cartera puedes traer y unificar tus deudas. Una sola cuota mensual. Proceso 100% digital.,0,email
Bancolombia: detectamos un acceso no autorizado. Bloquee su cuenta ahora en bit.ly/bcol-seguridad,1,sms
Su cuenta Bancolombia sera suspendida en 2 horas. Actualice sus datos en bcoloombia-verifica.xyz,1,sms
Nequi alerta: movimiento sospechoso de 850.000. Confirme su clave en nequi-seguro.click,1,whatsapp
Daviplata: su bono de 200.000 esta disponible. Reclame aqui daviplata-bonos.info,1,whatsapp
Claro informa: su linea sera cortada hoy por falta de pago. Evitelo validando en claro-pagos.shop,1,sms
PSE: transaccion pendiente. Ingrese su clave bancaria para completar el pago en pse-pago.xyz,1,email
DIAN: tiene una devolucion de impuestos. Consulte y reclame en dian-devolucion.top,1,email
Servientrega: paquete retenido en aduana. Pague el valor pendiente en servientrega-pago.click,1,sms
"Hola mama, perdi el celular, este es mi numero nuevo, necesito que me consignes para la sim",1,whatsapp
"Mama soy yo, se me daño el telefono, me puedes hacer una transferencia urgente por favor",1,whatsapp
"Papa, cambie de numero, necesito que me ayudes con un pago de la universidad hoy",1,whatsapp
"Hola, soy tu hijo, me robaron el celular, este es el nuevo, mandame algo para recargar",1,whatsapp
Soporte Bancolombia: su token esta por vencer. Renuevelo ya en token-bcol.xyz,1,sms
Aviso de seguridad Nequi: actualice su clave dinamica antes de que bloquee su cuenta,1,whatsapp
Su extracto Bancolombia de julio ya esta disponible en la app oficial,0,email
Davivienda: su pago fue recibido correctamente. Gracias por preferirnos,0,sms
Claro: su factura vence el 12. Pague en la app Mi Claro o en puntos autorizados,0,sms
"Hola, llegue bien a la casa, te llamo mas tarde",0,whatsapp
Recordatorio EPS: su cita de control es el jueves a las 10am,0,sms
Mercado Libre: tu pedido va en camino y llega manana,0,email
Nequi: recibiste una transferencia de 50.000 de Juan Perez,0,whatsapp
Tigo: tu plan incluye 10GB extras este mes. Consulta en la app,0,sms
Bancolombia: para mayor seguridad active la clave dinamica en la app,0,sms
Coordinadora: su envio 7891 fue entregado en porteria,0,sms
"Hola, confirmame si vas a la reunion de las 3",0,whatsapp
Movistar: tu factura del mes ya esta lista en la app o en movistar.co,0,sms
DIAN: el plazo para declarar renta vence el 15. Consulte en la pagina oficial dian.gov.co,0,email
Soporte tecnico falso Claro: necesitamos su cedula y clave para no suspender la linea,1,sms
"Felicidades, gano un iPhone 15 con Claro. Reclame en claro-premio.shop ingresando sus datos",1,whatsapp
URGENTE Juzgado: tiene una demanda en curso. Descargue el expediente con clave 2026,1,email
